"","player_name","Position","date","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"1","Adem Ljajic","MF","2014-01-10 0:00",80,83,"right","medium","medium",75,78,48,78,75,84,80,81,60,85,85,80,85,77,80,78,66,76,64,79,36,39,78,77,66,23,40,40,6,14,7,6,12
"2","Adem Ljajic","MF","2013-11-29 0:00",80,86,"right","high","medium",75,78,48,78,75,84,80,81,60,85,85,80,85,78,80,78,66,76,64,79,36,39,78,77,66,23,40,40,6,14,7,6,12
"3","Adem Ljajic","MF","2016-02-18 0:00",79,83,"right","medium","medium",73,77,47,77,74,82,80,82,74,84,82,79,82,70,76,79,68,68,64,81,44,33,76,80,78,23,35,35,6,14,7,6,12
"4","Adem Ljajic","MF","2014-01-24 0:00",77,84,"right","medium","medium",69,76,48,74,74,84,80,80,66,84,82,82,80,74,68,76,66,76,64,74,46,38,76,70,66,23,40,40,6,14,7,6,12
"5","Adem Ljajic","MF","2013-10-25 0:00",81,86,"right","high","medium",75,80,48,80,75,84,80,79,60,85,85,79,85,78,80,78,66,76,64,79,36,39,80,79,66,23,40,40,6,14,7,6,12
"6","Adem Ljajic","MF","2013-03-15 0:00",75,84,"right","medium","low",70,68,48,78,68,82,78,77,68,83,80,77,82,74,75,77,66,74,64,78,48,54,75,71,66,23,45,43,6,14,7,6,12
"7","Adem Ljajic","MF","2013-05-31 0:00",79,84,"right","high","medium",72,73,48,80,68,84,78,77,70,85,82,79,83,78,75,77,66,76,64,78,48,54,78,77,66,23,45,43,6,14,7,6,12
"8","Adem Ljajic","MF","2013-11-15 0:00",81,86,"right","high","medium",75,80,48,78,75,84,80,81,60,85,85,80,85,78,80,78,66,76,64,79,36,39,80,79,66,23,40,40,6,14,7,6,12
"9","Adem Ljajic","MF","2013-03-22 0:00",75,84,"right","medium","low",70,68,48,80,68,82,78,77,70,83,80,77,82,74,75,77,66,74,64,78,48,54,75,75,66,23,45,43,6,14,7,6,12
"10","Adem Ljajic","MF","2013-09-20 0:00",81,86,"right","high","medium",75,80,48,80,75,84,80,79,60,85,85,79,85,78,80,78,66,76,64,79,36,39,80,79,66,23,40,40,6,14,7,6,12
"11","Adem Ljajic","MF","2015-09-21 0:00",79,84,"right","medium","medium",73,77,47,77,74,82,80,82,74,84,82,79,82,70,76,79,68,68,64,81,44,33,76,80,78,23,35,35,6,14,7,6,12
"12","Adem Ljajic","MF","2015-12-10 0:00",79,83,"right","medium","medium",73,77,47,77,74,82,80,82,74,84,82,79,82,70,76,79,68,68,64,81,44,33,76,80,78,23,35,35,6,14,7,6,12
"13","Adem Ljajic","MF","2014-01-17 0:00",77,83,"right","medium","medium",69,76,48,74,74,84,80,80,66,84,82,82,80,74,68,76,66,76,64,74,46,38,76,70,66,23,40,40,6,14,7,6,12
"14","Adem Ljajic","MF","2016-04-28 0:00",79,83,"right","high","medium",73,77,47,77,74,83,75,76,70,85,82,79,82,72,76,76,68,68,64,81,44,32,76,80,76,23,35,35,6,14,7,6,12
"15","Adem Ljajic","MF","2010-08-30 0:00",74,85,"right","medium","low",65,50,58,78,67,84,70,79,70,78,79,77,77,70,64,75,61,72,65,73,45,43,77,76,64,13,12,11,6,14,7,6,12
"16","Adem Ljajic","MF","2014-03-21 0:00",76,82,"right","medium","medium",68,74,50,74,74,84,80,80,66,84,82,80,82,72,66,76,68,68,64,76,46,38,74,60,78,23,40,40,6,14,7,6,12
"17","Adem Ljajic","MF","2013-02-15 0:00",75,84,"right","medium","low",70,66,48,78,68,82,78,77,68,83,79,76,82,74,75,77,66,74,64,75,48,54,75,71,66,23,42,41,6,14,7,6,12
"18","Adem Ljajic","MF","2014-02-14 0:00",76,82,"right","medium","medium",68,76,48,72,74,84,80,80,60,84,82,80,82,74,66,76,68,68,64,74,46,38,74,60,74,23,40,40,6,14,7,6,12
"19","Adem Ljajic","MF","2016-05-12 0:00",79,82,"right","high","medium",73,77,47,77,74,83,75,76,70,85,82,79,82,72,76,76,68,68,64,81,44,32,76,80,76,23,35,35,6,14,7,6,12
"20","Adem Ljajic","MF","2012-02-22 0:00",75,84,"right","medium","low",70,50,50,76,72,82,76,76,72,83,79,79,82,74,56,74,66,74,65,72,45,54,72,75,66,23,42,41,6,14,7,6,12
"21","Adem Ljajic","MF","2013-04-19 0:00",76,84,"right","medium","low",70,68,48,80,68,83,78,77,70,84,80,77,82,76,75,77,66,74,64,78,48,54,75,75,66,23,45,43,6,14,7,6,12
"22","Adem Ljajic","MF","2013-12-13 0:00",80,86,"right","high","medium",75,78,48,78,75,84,80,81,60,85,85,80,85,77,80,78,66,76,64,79,36,39,78,77,66,23,40,40,6,14,7,6,12
"23","Adem Ljajic","MF","2014-05-02 0:00",77,83,"right","medium","medium",69,73,50,75,74,83,80,80,67,84,82,80,82,70,66,76,68,68,64,76,46,38,74,73,78,23,40,40,6,14,7,6,12
"24","Adem Ljajic","MF","2014-04-04 0:00",76,82,"right","medium","medium",69,73,50,74,74,83,80,80,66,83,82,80,82,70,66,76,68,68,64,76,46,38,74,66,78,23,40,40,6,14,7,6,12
"25","Adem Ljajic","MF","2016-03-10 0:00",79,83,"right","high","medium",73,77,47,77,74,82,80,82,74,84,82,79,82,70,76,79,68,68,64,81,44,33,76,80,78,23,35,35,6,14,7,6,12
"26","Adem Ljajic","MF","2013-11-01 0:00",81,86,"right","high","medium",75,80,48,80,75,84,80,79,60,85,85,80,85,78,80,78,66,76,64,79,36,39,80,79,66,23,40,40,6,14,7,6,12
"27","Adem Ljajic","MF","2013-05-03 0:00",76,84,"right","medium","low",70,68,48,80,68,83,78,77,70,84,80,77,82,78,75,77,66,74,64,78,48,54,75,75,66,23,45,43,6,14,7,6,12
"28","Adem Ljajic","MF","2014-09-18 0:00",76,82,"right","medium","medium",68,72,49,74,73,82,79,79,70,83,82,79,82,69,69,75,68,68,64,76,45,37,73,72,77,22,39,39,5,13,6,5,11
"29","Adem Ljajic","MF","2011-02-22 0:00",73,86,"right","medium","low",70,60,50,78,75,81,70,73,65,80,81,79,77,75,67,75,65,77,65,70,45,43,70,76,66,13,32,21,6,14,7,6,12
