,player_name,Position,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
40,Adem Ljajic,MF,2010-02-22 0:00,69,81,right,medium,low,65,49,48,79,67,84,70,60,69,76,72,71,77,51,64,75,61,58,40,59,35,41,60,76,82,22,22,11,2,22,69,22,22
48,Adnan Januzaj,MF,2013-04-26 0:00,60,80,right,medium,medium,58,52,22,65,61,68,60,57,58,68,66,68,57,54,62,47,59,34,27,62,27,17,45,62,59,19,20,21,14,9,10,11,6
69,Ander Herrera,MF,2014-09-18 0:00,79,84,right,high,medium,60,61,38,88,60,83,72,70,81,87,78,75,84,81,78,64,63,68,59,62,77,66,80,85,57,47,60,48,9,12,15,9,8
105,Anders Lindegaard,GK,2010-08-30 0:00,70,75,right,medium,medium,8,5,16,18,12,6,10,7,27,34,47,62,72,43,50,27,66,64,68,8,33,22,18,51,22,13,14,8,70,71,69,69,74
118,Anderson,MF,2007-08-30 0:00,82,89,left,medium,medium,73,70,51,85,70,87,81,74,78,86,86,81,74,77,80,85,70,82,70,84,54,73,78,82,81,23,36,67,9,22,78,22,22
165,Angel Di Maria,MF,2015-03-13 0:00,86,86,left,high,medium,91,75,53,82,77,88,83,72,81,86,90,90,90,80,79,88,72,79,64,79,76,47,84,83,73,37,63,61,10,7,11,12,11
175,Anthony Martial,FW,2016-02-11 0:00,79,86,right,high,low,67,81,72,72,74,84,69,54,55,81,88,87,82,81,78,78,81,74,77,68,57,42,81,62,71,21,18,17,9,8,8,15,11
222,Antonio Valencia,DF,2010-02-22 0:00,82,84,right,high,medium,86,75,61,72,67,86,75,68,61,84,91,88,82,83,84,84,63,81,78,81,78,71,71,82,77,45,53,44,15,22,61,22,22
235,Ashley Young,DF,2011-02-22 0:00,82,86,right,high,medium,88,74,40,70,74,88,83,84,68,85,92,91,83,73,62,79,47,72,48,76,41,28,73,76,75,20,30,44,15,9,14,15,14
276,Bastian Schweinsteiger,MF,2015-09-21 0:00,86,86,right,high,high,79,76,79,87,82,79,82,78,87,83,51,53,73,89,61,84,83,76,78,81,80,86,80,86,83,68,78,76,14,14,13,13,11
301,Bebe,FW,2011-02-22 0:00,63,72,right,medium,low,45,61,66,64,62,70,64,47,52,67,75,78,68,59,52,70,64,34,64,46,54,22,50,51,50,17,22,19,14,6,7,6,10
332,Ben Amos,GK,2008-08-30 0:00,57,75,right,medium,medium,23,23,23,23,7,23,7,3,57,23,45,45,54,38,34,23,57,31,32,23,27,23,24,21,25,23,21,23,63,51,57,54,62
358,Ben Foster,GK,2007-08-30 0:00,78,84,left,medium,medium,21,21,21,32,8,21,14,16,65,25,53,53,45,63,60,26,70,70,66,21,54,58,68,50,72,21,34,8,82,78,65,72,82
362,Cameron Borthwick-Jackson,DF,2016-02-11 0:00,67,79,left,medium,medium,73,34,65,69,39,64,74,37,62,65,74,72,56,55,62,45,73,68,64,35,57,62,43,50,46,63,74,69,6,11,8,11,9
370,Carlos Tevez,FW,2007-02-22 0:00,87,90,right,high,high,70,84,38,83,88,83,77,83,68,86,89,88,81,88,91,89,72,88,88,85,72,72,83,82,83,61,66,34,11,12,68,12,8
420,Chris Eagles,MF,2007-08-30 0:00,69,80,right,medium,medium,67,62,43,62,61,69,62,61,59,67,76,76,76,67,64,66,57,77,68,65,62,55,55,71,60,35,45,27,13,21,59,21,21
