player_name,birthday
Adem Ljajic,1991-09-29 0:00
Adnan Januzaj,1995-02-05 0:00
Ander Herrera,1989-08-14 0:00
Anders Lindegaard,1984-04-13 0:00
Anderson,1988-04-13 0:00
Angel Di Maria,1988-02-14 0:00
Anthony Martial,1995-12-05 0:00
Antonio Valencia,1985-08-04 0:00
Ashley Young,1985-07-09 0:00
Bastian Schweinsteiger,1984-08-01 0:00
Bebe,1990-07-12 0:00
Ben Amos,1990-04-10 0:00
Ben Foster,1983-04-03 0:00
Cameron Borthwick-Jackson,1997-02-02 0:00
Carlos Tevez,1984-02-05 0:00
Chris Eagles,1985-11-19 0:00
Chris Smalling,1989-11-22 0:00
Craig Cathcart,1989-02-06 0:00
Cristiano Ronaldo,1985-02-05 0:00
Daley Blind,1990-03-09 0:00
Danny Drinkwater,1990-03-05 0:00
Danny Simpson,1987-01-04 0:00
Danny Welbeck,1990-11-26 0:00
Darren Fletcher,1984-02-01 0:00
Darron Gibson,1987-10-25 0:00
David De Gea,1990-11-07 0:00
Dimitar Berbatov,1981-01-30 0:00
Edwin van der Sar,1970-10-29 0:00
Ezekiel Fryers,1992-09-09 0:00
Fabio,1990-07-09 0:00
Federico Macheda,1991-08-22 0:00
Fraizer Campbell,1987-09-13 0:00
Frederic Veseli,1992-11-20 0:00
Gabriel Heinze,1978-04-19 0:00
Gabriel Obertan,1989-02-26 0:00
Gary Neville,1975-02-18 0:00
Gary Woods,1990-10-01 0:00
Gerard Pique,1987-02-02 0:00
Guillermo Varela,1993-03-24 0:00
James Chester,1989-01-23 0:00
James Wilson,1995-12-01 0:00
Javier Hernandez,1988-06-01 0:00
Jesse Lingard,1992-12-15 0:00
Ji-Sung Park,1981-02-25 0:00
John O'Shea,1981-04-30 0:00
Jonny Evans,1988-01-02 0:00
Joshua King,1992-01-15 0:00
Juan Mata,1988-04-28 0:00
Lee Martin,1987-02-09 0:00
Louis Saha,1978-08-08 0:00
Luke Shaw,1995-07-12 0:00
Magnus Wolff Eikrem,1990-08-08 0:00
Mame Biram Diouf,1987-12-16 0:00
Manucho,1983-03-07 0:00
Marcos Rojo,1990-03-20 0:00
Marcus Rashford,1997-10-31 0:00
Marnick Vermijl,1992-01-13 0:00
Marouane Fellaini,1987-11-22 0:00
Matteo Darmian,1989-12-02 0:00
Memphis Depay,1994-02-13 0:00
Michael Carrick,1981-07-28 0:00
Michael Keane,1993-01-11 0:00
Michael Owen,1979-12-14 0:00
Mikael Silvestre,1977-08-09 0:00
Morgan Schneiderlin,1989-11-08 0:00
Nani,1986-11-17 0:00
Nemanja Vidic,1981-10-21 0:00
Owen Hargreaves,1981-01-20 0:00
Patrice Evra,1981-05-15 0:00
Patrick McNair,1995-04-27 0:00
Paul Pogba,1993-03-15 0:00
Paul Scholes,1974-11-16 0:00
Phil Bardsley,1985-06-28 0:00
Phil Jones,1992-02-21 0:00
Radamel Falcao,1986-02-10 0:00
Rafael,1990-07-09 0:00
Ravel Morrison,1993-02-02 0:00
Rio Ferdinand,1978-11-07 0:00
Robin van Persie,1983-08-06 0:00
Ron-Robert Zieler,1989-02-12 0:00
Ryan Giggs,1973-11-29 0:00
Ryan Shawcross,1987-10-04 0:00
Ryan Tunnicliffe,1992-12-30 0:00
Saidy Janko,1995-10-22 0:00
Sergio Romero,1987-02-22 0:00
Shinji Kagawa,1989-03-17 0:00
Timothy Fosu-Mensah,1998-01-02 0:00
Tom Cleverley,1989-08-12 0:00
Tom Heaton,1986-04-15 0:00
Tom Lawrence,1994-01-13 0:00
Tomasz Kuszczak,1982-03-20 0:00
Tyler Blackett,1994-04-02 0:00
Wayne Rooney,1985-10-24 0:00
Wes Brown,1979-10-13 0:00
Wilfried Zaha,1992-11-10 0:00
Zoran Tosic,1987-04-28 0:00
