player_name,birthday,Position
Adem Ljajic,1991-09-29 0:00,MF
Adnan Januzaj,1995-02-05 0:00,MF
Ander Herrera,1989-08-14 0:00,MF
Anders Lindegaard,1984-04-13 0:00,GK
Anderson,1988-04-13 0:00,MF
Angel Di Maria,1988-02-14 0:00,MF
Anthony Martial,1995-12-05 0:00,FW
Antonio Valencia,1985-08-04 0:00,DF
Ashley Young,1985-07-09 0:00,DF
Bastian Schweinsteiger,1984-08-01 0:00,MF
Bebe,1990-07-12 0:00,FW
Ben Amos,1990-04-10 0:00,GK
Ben Foster,1983-04-03 0:00,GK
Cameron Borthwick-Jackson,1997-02-02 0:00,DF
Carlos Tevez,1984-02-05 0:00,FW
Chris Eagles,1985-11-19 0:00,MF
Chris Smalling,1989-11-22 0:00,DF
Craig Cathcart,1989-02-06 0:00,DF
Cristiano Ronaldo,1985-02-05 0:00,MF
Daley Blind,1990-03-09 0:00,DF
Danny Drinkwater,1990-03-05 0:00,MF
Danny Simpson,1987-01-04 0:00,DF
Danny Welbeck,1990-11-26 0:00,FW
Darren Fletcher,1984-02-01 0:00,MF
Darron Gibson,1987-10-25 0:00,MF
David De Gea,1990-11-07 0:00,GK
Dimitar Berbatov,1981-01-30 0:00,FW
Edwin van der Sar,1970-10-29 0:00,GK
Ezekiel Fryers,1992-09-09 0:00,DF
Fabio,1990-07-09 0:00,DF
Federico Macheda,1991-08-22 0:00,FW
Fraizer Campbell,1987-09-13 0:00,FW
Frederic Veseli,1992-11-20 0:00,DF
Gabriel Heinze,1978-04-19 0:00,DF
Gabriel Obertan,1989-02-26 0:00,MF
Gary Neville,1975-02-18 0:00,DF
Gary Woods,1990-10-01 0:00,GK
Gerard Pique,1987-02-02 0:00,DF
Guillermo Varela,1993-03-24 0:00,DF
James Chester,1989-01-23 0:00,DF
James Wilson,1995-12-01 0:00,FW
Javier Hernandez,1988-06-01 0:00,FW
Jesse Lingard,1992-12-15 0:00,MF
Ji-Sung Park,1981-02-25 0:00,MF
John O'Shea,1981-04-30 0:00,DF
Jonny Evans,1988-01-02 0:00,DF
Joshua King,1992-01-15 0:00,FW
Juan Mata,1988-04-28 0:00,MF
Lee Martin,1987-02-09 0:00,MF
Louis Saha,1978-08-08 0:00,FW
Luke Shaw,1995-07-12 0:00,DF
Magnus Wolff Eikrem,1990-08-08 0:00,MF
Mame Biram Diouf,1987-12-16 0:00,FW
Manucho,1983-03-07 0:00,FW
Marcos Rojo,1990-03-20 0:00,DF
Marcus Rashford,1997-10-31 0:00,FW
Marnick Vermijl,1992-01-13 0:00,DF
Marouane Fellaini,1987-11-22 0:00,MF
Matteo Darmian,1989-12-02 0:00,DF
Memphis Depay,1994-02-13 0:00,FW
Michael Carrick,1981-07-28 0:00,MF
Michael Keane,1993-01-11 0:00,DF
Michael Owen,1979-12-14 0:00,FW
Mikael Silvestre,1977-08-09 0:00,DF
Morgan Schneiderlin,1989-11-08 0:00,MF
Nani,1986-11-17 0:00,MF
Nemanja Vidic,1981-10-21 0:00,DF
Owen Hargreaves,1981-01-20 0:00,MF
Patrice Evra,1981-05-15 0:00,DF
Patrick McNair,1995-04-27 0:00,DF
Paul Pogba,1993-03-15 0:00,MF
Paul Scholes,1974-11-16 0:00,MF
Phil Bardsley,1985-06-28 0:00,DF
Phil Jones,1992-02-21 0:00,DF
Radamel Falcao,1986-02-10 0:00,FW
Rafael,1990-07-09 0:00,DF
Ravel Morrison,1993-02-02 0:00,MF
Rio Ferdinand,1978-11-07 0:00,DF
Robin van Persie,1983-08-06 0:00,FW
Ron-Robert Zieler,1989-02-12 0:00,GK
Ryan Giggs,1973-11-29 0:00,MF
Ryan Shawcross,1987-10-04 0:00,DF
Ryan Tunnicliffe,1992-12-30 0:00,MF
Saidy Janko,1995-10-22 0:00,DF
Sergio Romero,1987-02-22 0:00,GK
Shinji Kagawa,1989-03-17 0:00,MF
Timothy Fosu-Mensah,1998-01-02 0:00,DF
Tom Cleverley,1989-08-12 0:00,MF
Tom Heaton,1986-04-15 0:00,GK
Tom Lawrence,1994-01-13 0:00,FW
Tomasz Kuszczak,1982-03-20 0:00,GK
Tyler Blackett,1994-04-02 0:00,DF
Wayne Rooney,1985-10-24 0:00,FW
Wes Brown,1979-10-13 0:00,DF
Wilfried Zaha,1992-11-10 0:00,MF
Zoran Tosic,1987-04-28 0:00,MF
