player_name,Position
Adem Ljajic,MF
Adnan Januzaj,MF
Ander Herrera,MF
Anders Lindegaard,GK
Anderson,MF
Angel Di Maria,MF
Anthony Martial,FW
Antonio Valencia,DF
Ashley Young,DF
Bastian Schweinsteiger,MF
Bebe,FW
Ben Amos,GK
Ben Foster,GK
Cameron Borthwick-Jackson,DF
Carlos Tevez,FW
Chris Eagles,MF
Chris Smalling,DF
Craig Cathcart,DF
Cristiano Ronaldo,MF
Daley Blind,DF
Danny Drinkwater,MF
Danny Simpson,DF
Danny Welbeck,FW
Darren Fletcher,MF
Darron Gibson,MF
David De Gea,GK
Dimitar Berbatov,FW
Edwin van der Sar,GK
Ezekiel Fryers,DF
Fabio,DF
Federico Macheda,FW
Fraizer Campbell,FW
Frederic Veseli,DF
Gabriel Heinze,DF
Gabriel Obertan,MF
Gary Neville,DF
Gary Woods,GK
Gerard Pique,DF
Guillermo Varela,DF
James Chester,DF
James Wilson,FW
Javier Hernandez,FW
Jesse Lingard,MF
Ji-Sung Park,MF
John O'Shea,DF
Jonny Evans,DF
Joshua King,FW
Juan Mata,MF
Lee Martin,MF
Louis Saha,FW
Luke Shaw,DF
Magnus Wolff Eikrem,MF
Mame Biram Diouf,FW
Manucho,FW
Marcos Rojo,DF
Marcus Rashford,FW
Marnick Vermijl,DF
Marouane Fellaini,MF
Matteo Darmian,DF
Memphis Depay,FW
Michael Carrick,MF
Michael Keane,DF
Michael Owen,FW
Mikael Silvestre,DF
Morgan Schneiderlin,MF
Nani,MF
Nemanja Vidic,DF
Owen Hargreaves,MF
Patrice Evra,DF
Patrick McNair,DF
Paul Pogba,MF
Paul Scholes,MF
Phil Bardsley,DF
Phil Jones,DF
Radamel Falcao,FW
Rafael,DF
Ravel Morrison,MF
Rio Ferdinand,DF
Robin van Persie,FW
Ron-Robert Zieler,GK
Ryan Giggs,MF
Ryan Shawcross,DF
Ryan Tunnicliffe,MF
Saidy Janko,DF
Sergio Romero,GK
Shinji Kagawa,MF
Timothy Fosu-Mensah,DF
Tom Cleverley,MF
Tom Heaton,GK
Tom Lawrence,FW
Tomasz Kuszczak,GK
Tyler Blackett,DF
Wayne Rooney,FW
Wes Brown,DF
Wilfried Zaha,MF
Zoran Tosic,MF
